campaign	peers	attempt	order	base_median_ns	head_median_ns	delta_percent	base_ci_low_ns	base_ci_high_ns	head_ci_low_ns	head_ci_high_ns
04-otc-target	8	4	head-base	58469.454895982780727	43117.086092119468958	-26.257075307398008	58187.187039693926636	59080.008632233380922	42960.623635600335547	43856.520654911837482
04-otc-target	8	5	base-head	58191.881578947366506	43173.560587002095417	-25.808275285909627	57970.997520829099813	59083.697297297294426	42842.003962264148868	43450.534940600977279
04-otc-target	8	6	head-base	58458.485878018829681	43058.738375000000815	-26.343048869162278	57998.374068767909193	58966.987822349568887	42688.095615079364507	43383.372604166666861
04-otc-target	64	1	base-head	286174.640506329131313	162951.655940594035201	-43.058666675606375	285021.218806509918068	288731.433544303814415	162158.279349363496294	163627.747524752485333
04-otc-target	64	2	head-base	281455.085648148145992	164337.627176616922952	-41.611420238446776	280245.441358024720103	282688.118312757229432	163649.400497512426227	165524.659825870650820
04-otc-target	64	3	base-head	285837.572943037957884	164240.883601485169493	-42.540484824850061	284577.992992766725365	287458.373417721537407	163444.164108910888899	165836.616336633655010
04-otc-target	64	4	head-base	281291.474378881976008	163889.260572139290161	-41.736854650848485	280526.469720496912487	282792.242236024816521	163222.417772249842528	164699.545605306804646
04-otc-target	64	5	base-head	282147.043750000011642	163753.090339354122989	-41.961791212510576	280988.219717261905316	283697.536111111112405	162148.439831104857149	165134.830049261072418
04-otc-target	64	6	head-base	280167.680078124976717	163449.125027502770536	-41.660249682645464	279199.914999999979045	281907.717522321385331	162877.913719943433534	165263.773514851491200
04-otc-target	256	1	base-head	1086667.952380952425301	591190.333636363735422	-45.596045936476600	1082027.271825396921486	1098021.031746031716466	586326.765454545500688	596427.478787878761068
04-otc-target	256	2	head-base	1066619.339534883853048	594063.070601851912215	-44.304115950034948	1060325.206072351429611	1071362.406976744066924	585941.416666666627862	598101.949074074160308
04-otc-target	256	3	base-head	1080980.093253968283534	596813.166666666744277	-44.789624675683100	1075340.782142857089639	1086190.180952380876988	592673.169367284048349	602065.152777777751908
04-otc-target	256	4	head-base	1062840.738953488413244	593988.618827160447836	-44.113111489118943	1056948.592377261025831	1069467.322674418566748	590908.225661375676282	596798.532407407416031
04-otc-target	256	5	base-head	1065131.815245477948338	593074.140000000013970	-44.319178949385162	1060859.392026578076184	1069417.119186046533287	590019.322727272752672	600873.344570707064122
04-otc-target	256	6	head-base	1061191.665074750781059	588639.140404040459543	-44.530365269823669	1057001.484366924967617	1063303.528294573538005	584557.772727272706106	595117.029090909054503
04-otc-target	1000	1	base-head	4252020.615000000223517	2358724.223076922819018	-44.526980542945402	4234501.433333333581686	4287810.575000000186265	2340592.538461538497359	2365865.854700854979455
04-otc-target	1000	2	head-base	4200324.159090909175575	2369564.823076923377812	-43.586143989663491	4182210.477272727526724	4214227.075757576152682	2361691.019230769015849	2381051.153846153989434
04-otc-target	1000	3	base-head	4254338.727272727526724	2398663.380769230891019	-43.618420287213233	4237398.927272727712989	4297582.397727272473276	2367030.769230769015849	2420696.332112331874669
04-otc-target	1000	4	head-base	4193182.234487734735012	2382469.012820512987673	-43.182316446316570	4176540.416666666511446	4222387.814393939450383	2373994.692307692486793	2429589.848901099059731
04-otc-target	1000	5	base-head	4183291.272727272473276	2386140.036630036309361	-42.960222440489879	4153325.537878788076341	4219952.284090909175575	2368164.365384615492076	2391851.341880341991782
04-otc-target	1000	6	head-base	4178494.653535353485495	2358134.355128205381334	-43.564978523233769	4151424.340909090824425	4202520.292207792401314	2341430.164835164789110	2373311.265491452999413
