ts_unix,elapsed_sec,pe1_rss_mb,pe2_rss_mb,pe1_df_role,pe2_df_role,pe1_df_changes,pe2_df_changes,pe1_bum_flags,pe2_bum_flags,pe2_running
1778441689,14998,13.9453,11.3867,NaN,NaN,NaN,NaN,df,df,1
1778441749,15058,13.9453,11.3867,NaN,NaN,NaN,NaN,df,df,1
1778441810,15119,13.9453,11.3867,NaN,NaN,NaN,NaN,df,df,1
1778441870,15179,13.9453,11.3867,NaN,NaN,NaN,NaN,df,df,1
1778441936,15245,13.9453,NaN,NaN,NaN,NaN,NaN,df,mixed,0
1778441996,15305,13.9453,NaN,NaN,NaN,NaN,NaN,df,mixed,0
1778442056,15365,13.9453,NaN,NaN,NaN,NaN,NaN,df,mixed,0
1778442117,15426,13.9453,NaN,NaN,NaN,NaN,NaN,df,mixed,0
1778442177,15486,13.9453,NaN,NaN,NaN,NaN,NaN,df,mixed,0
1778442238,15547,13.9453,NaN,NaN,NaN,NaN,NaN,df,mixed,0
1778442298,15607,13.9453,NaN,NaN,NaN,NaN,NaN,df,mixed,0
1778442358,15667,13.9453,NaN,NaN,NaN,NaN,NaN,df,mixed,0
1778442419,15728,13.9453,NaN,NaN,NaN,NaN,NaN,df,mixed,0
1778442479,15788,13.9453,NaN,NaN,NaN,NaN,NaN,df,mixed,0
1778442541,15850,13.9453,10.1992,NaN,NaN,NaN,NaN,df,df,1
1778442601,15910,13.9453,10.1992,NaN,NaN,NaN,NaN,df,df,1
1778442662,15971,13.9453,10.1992,NaN,NaN,NaN,NaN,df,df,1
1778442722,16031,13.9453,11.418,NaN,NaN,NaN,NaN,df,df,1
1778442782,16091,13.9453,11.418,NaN,NaN,NaN,NaN,df,df,1
1778442843,16152,13.9453,11.9648,NaN,NaN,NaN,NaN,df,df,1
1778442903,16212,13.9453,11.9648,NaN,NaN,NaN,NaN,df,df,1
1778442964,16273,13.9453,11.9648,NaN,NaN,NaN,NaN,df,df,1
1778443024,16333,13.9453,11.9648,NaN,NaN,NaN,NaN,df,df,1
1778443085,16394,13.9453,11.9648,NaN,NaN,NaN,NaN,df,df,1
1778443151,16460,13.9453,NaN,NaN,NaN,NaN,NaN,df,mixed,0
1778443211,16520,13.9453,NaN,NaN,NaN,NaN,NaN,df,mixed,0
1778443271,16580,13.9453,NaN,NaN,NaN,NaN,NaN,df,mixed,0
1778443332,16641,13.9453,NaN,NaN,NaN,NaN,NaN,df,mixed,0
1778443392,16701,13.9453,NaN,NaN,NaN,NaN,NaN,df,mixed,0
1778443452,16761,13.9453,NaN,NaN,NaN,NaN,NaN,df,mixed,0
1778443513,16822,13.9453,NaN,NaN,NaN,NaN,NaN,df,mixed,0
1778443573,16882,13.9453,NaN,NaN,NaN,NaN,NaN,df,mixed,0
1778443633,16942,13.9453,NaN,NaN,NaN,NaN,NaN,df,mixed,0
1778443694,17003,13.9453,NaN,NaN,NaN,NaN,NaN,df,mixed,0
1778443755,17064,13.9453,10.2109,NaN,NaN,NaN,NaN,df,df,1
1778443816,17125,13.9453,11.3516,NaN,NaN,NaN,NaN,df,df,1
1778443876,17185,13.9453,11.3516,NaN,NaN,NaN,NaN,df,df,1
1778443937,17246,13.9453,11.3516,NaN,NaN,NaN,NaN,df,df,1
1778443997,17306,13.9453,11.3516,NaN,NaN,NaN,NaN,df,df,1
1778444058,17367,13.9453,11.3516,NaN,NaN,NaN,NaN,df,df,1
1778444118,17427,13.9453,11.3516,NaN,NaN,NaN,NaN,df,df,1
1778444179,17488,13.9453,11.3516,NaN,NaN,NaN,NaN,df,df,1
1778444239,17548,13.9453,11.3516,NaN,NaN,NaN,NaN,df,df,1
1778444299,17608,13.9453,11.3516,NaN,NaN,NaN,NaN,df,df,1
1778444365,17674,13.9453,NaN,NaN,NaN,NaN,NaN,df,mixed,0
1778444425,17734,13.9453,NaN,NaN,NaN,NaN,NaN,df,mixed,0
1778444486,17795,13.9453,NaN,NaN,NaN,NaN,NaN,df,mixed,0
1778444546,17855,13.9453,NaN,NaN,NaN,NaN,NaN,df,mixed,0
