monotonic_seconds	utc	http_code	time_seconds
1348468.11	2026-07-20T03:26:03.740Z	200	0.019717
1348468.23	2026-07-20T03:26:03.856Z	200	0.005337
1348468.34	2026-07-20T03:26:03.969Z	200	0.001629
1348468.45	2026-07-20T03:26:04.080Z	200	0.001533
1348468.56	2026-07-20T03:26:04.192Z	200	0.001875
1348468.68	2026-07-20T03:26:04.310Z	200	0.007552
1348468.79	2026-07-20T03:26:04.422Z	200	0.001486
1348468.91	2026-07-20T03:26:04.535Z	200	0.002290
1348469.02	2026-07-20T03:26:04.647Z	200	0.001739
1348469.13	2026-07-20T03:26:04.759Z	200	0.001862
1348469.26	2026-07-20T03:26:04.891Z	200	0.020733
1348469.37	2026-07-20T03:26:05.005Z	200	0.002536
1348469.49	2026-07-20T03:26:05.117Z	200	0.001818
1348469.60	2026-07-20T03:26:05.229Z	200	0.001516
1348469.71	2026-07-20T03:26:05.342Z	200	0.001361
1348469.83	2026-07-20T03:26:05.463Z	200	0.010282
1348469.95	2026-07-20T03:26:05.576Z	200	0.001174
1348470.06	2026-07-20T03:26:05.688Z	200	0.001415
1348470.17	2026-07-20T03:26:05.799Z	200	0.001365
1348470.28	2026-07-20T03:26:05.911Z	200	0.001403
1348470.40	2026-07-20T03:26:06.034Z	200	0.011662
1348470.52	2026-07-20T03:26:06.145Z	200	0.001382
1348470.63	2026-07-20T03:26:06.265Z	200	0.008438
1348470.75	2026-07-20T03:26:06.377Z	200	0.001449
1348470.86	2026-07-20T03:26:06.489Z	200	0.001275
1348470.97	2026-07-20T03:26:06.600Z	200	0.001348
1348471.08	2026-07-20T03:26:06.712Z	200	0.001328
1348471.19	2026-07-20T03:26:06.824Z	200	0.001499
1348471.31	2026-07-20T03:26:06.941Z	200	0.006579
1348471.42	2026-07-20T03:26:07.053Z	200	0.001488
1348471.55	2026-07-20T03:26:07.180Z	200	0.015857
1348471.66	2026-07-20T03:26:07.292Z	200	0.001635
1348471.77	2026-07-20T03:26:07.405Z	200	0.001661
1348471.89	2026-07-20T03:26:07.517Z	200	0.001557
1348472.00	2026-07-20T03:26:07.629Z	200	0.001615
1348472.12	2026-07-20T03:26:07.745Z	200	0.005171
1348472.23	2026-07-20T03:26:07.858Z	200	0.001474
1348472.34	2026-07-20T03:26:07.970Z	200	0.001737
1348472.45	2026-07-20T03:26:08.082Z	200	0.001471
1348472.56	2026-07-20T03:26:08.194Z	200	0.001417
1348472.68	2026-07-20T03:26:08.307Z	200	0.002348
1348472.79	2026-07-20T03:26:08.423Z	200	0.006023
1348472.91	2026-07-20T03:26:08.536Z	200	0.001472
1348473.02	2026-07-20T03:26:08.649Z	200	0.001498
1348473.13	2026-07-20T03:26:08.761Z	200	0.001629
1348473.24	2026-07-20T03:26:08.873Z	200	0.001531
1348473.36	2026-07-20T03:26:08.988Z	200	0.004055
1348473.47	2026-07-20T03:26:09.103Z	200	0.004814
1348473.58	2026-07-20T03:26:09.215Z	200	0.001641
1348473.70	2026-07-20T03:26:09.326Z	200	0.001326
1348473.81	2026-07-20T03:26:09.438Z	200	0.001938
1348473.92	2026-07-20T03:26:09.550Z	200	0.001292
1348474.04	2026-07-20T03:26:09.666Z	200	0.005940
1348474.15	2026-07-20T03:26:09.780Z	200	0.002975
1348474.26	2026-07-20T03:26:09.891Z	200	0.001661
1348474.37	2026-07-20T03:26:10.004Z	200	0.001498
1348474.49	2026-07-20T03:26:10.116Z	200	0.001445
1348474.60	2026-07-20T03:26:10.228Z	200	0.001489
1348474.71	2026-07-20T03:26:10.344Z	200	0.004887
1348474.83	2026-07-20T03:26:10.457Z	200	0.002201
1348474.94	2026-07-20T03:26:10.569Z	200	0.001863
1348475.05	2026-07-20T03:26:10.681Z	200	0.001635
1348475.16	2026-07-20T03:26:10.792Z	200	0.001451
1348475.30	2026-07-20T03:26:10.930Z	200	0.026941
1348475.41	2026-07-20T03:26:11.043Z	200	0.002006
1348475.52	2026-07-20T03:26:11.154Z	200	0.001780
1348475.64	2026-07-20T03:26:11.268Z	200	0.002941
1348475.75	2026-07-20T03:26:11.382Z	200	0.004020
1348475.87	2026-07-20T03:26:11.497Z	200	0.004426
1348475.98	2026-07-20T03:26:11.611Z	200	0.002771
1348476.10	2026-07-20T03:26:11.729Z	200	0.007311
1348476.21	2026-07-20T03:26:11.842Z	200	0.002479
1348476.32	2026-07-20T03:26:11.955Z	200	0.001729
1348476.45	2026-07-20T03:26:12.080Z	200	0.014183
1348476.56	2026-07-20T03:26:12.192Z	200	0.001416
1348476.67	2026-07-20T03:26:12.304Z	200	0.001526
1348476.79	2026-07-20T03:26:12.416Z	200	0.002003
1348476.90	2026-07-20T03:26:12.533Z	200	0.006347
