timestamp,elapsed_sec,rss_mb,live_target_macs,local_fdb_count,frr_type2_count,bgp_established,churn_cycles,mac_add_total,mac_del_total,originations_inject,originations_withdraw,origination_errors_inject,origination_errors_withdraw,observation_drops_total,duplicate_mac_moves_total
2026-05-18T04:18:31Z,8801,22.449,1024,2048,1024,1,1752,44824,43800,44829,43805,0,0,0,0
2026-05-18T04:19:32Z,8861,22.449,1024,2048,1024,1,1764,45124,44100,45129,44105,0,0,0,0
2026-05-18T04:20:32Z,8922,22.449,1024,2048,1024,1,1776,45424,44400,45429,44405,0,0,0,0
2026-05-18T04:21:32Z,8982,22.449,1024,2048,1024,1,1788,45724,44700,45729,44705,0,0,0,0
2026-05-18T04:22:33Z,9042,22.449,1024,2048,1024,1,1800,46024,45000,46029,45005,0,0,0,0
2026-05-18T04:23:33Z,9103,22.449,1024,2048,1024,1,1812,46324,45300,46329,45305,0,0,0,0
2026-05-18T04:24:34Z,9163,22.449,1024,2048,1024,1,1824,46624,45600,46629,45605,0,0,0,0
2026-05-18T04:25:34Z,9224,22.449,1024,2048,1024,1,1836,46924,45900,46929,45905,0,0,0,0
2026-05-18T04:26:34Z,9284,22.449,1024,2048,1024,1,1848,47224,46200,47229,46205,0,0,0,0
2026-05-18T04:27:34Z,9344,22.449,1024,2048,1024,1,1860,47524,46500,47529,46505,0,0,0,0
2026-05-18T04:28:34Z,9404,22.449,1024,2048,1024,1,1872,47824,46800,47829,46805,0,0,0,0
2026-05-18T04:29:34Z,9464,22.449,1024,2048,1024,1,1884,48124,47100,48129,47105,0,0,0,0
2026-05-18T04:30:35Z,9524,22.449,1024,2048,1024,1,1896,48424,47400,48429,47405,0,0,0,0
2026-05-18T04:31:35Z,9585,22.449,1024,2048,1024,1,1908,48724,47700,48729,47705,0,0,0,0
2026-05-18T04:32:35Z,9645,22.449,1024,2048,1024,1,1920,49024,48000,49029,48005,0,0,0,0
2026-05-18T04:33:36Z,9705,22.449,1024,2048,1024,1,1932,49324,48300,49329,48305,0,0,0,0
2026-05-18T04:34:36Z,9765,22.449,1024,2048,1024,1,1944,49624,48600,49629,48605,0,0,0,0
2026-05-18T04:35:36Z,9825,22.449,1024,2048,1024,1,1956,49924,48900,49929,48905,0,0,0,0
2026-05-18T04:36:35Z,9885,22.449,1024,2048,1024,1,1968,50224,49200,50229,49205,0,0,0,0
2026-05-18T04:37:36Z,9946,22.449,1024,2048,1024,1,1980,50524,49500,50529,49505,0,0,0,0
2026-05-18T04:38:36Z,10006,22.449,1024,2048,1024,1,1992,50824,49800,50829,49805,0,0,0,0
2026-05-18T04:39:36Z,10066,22.449,1024,2048,1024,1,2004,51124,50100,51129,50105,0,0,0,0
2026-05-18T04:40:37Z,10127,22.449,1024,2048,1024,1,2016,51424,50400,51429,50405,0,0,0,0
2026-05-18T04:41:37Z,10187,22.449,1024,2048,1024,1,2028,51724,50700,51729,50705,0,0,0,0
2026-05-18T04:42:38Z,10247,22.449,1024,2048,1024,1,2040,52024,51000,52029,51005,0,0,0,0
2026-05-18T04:43:39Z,10308,22.449,1024,2048,1024,1,2052,52324,51300,52329,51305,0,0,0,0
2026-05-18T04:44:39Z,10369,22.449,1024,2048,1024,1,2064,52624,51600,52629,51605,0,0,0,0
2026-05-18T04:45:39Z,10429,22.449,1024,2048,1024,1,2076,52924,51900,52929,51905,0,0,0,0
2026-05-18T04:46:39Z,10489,22.449,1024,2048,1024,1,2088,53224,52200,53229,52205,0,0,0,0
2026-05-18T04:47:40Z,10549,22.449,1024,2048,1024,1,2100,53524,52500,53529,52505,0,0,0,0
2026-05-18T04:48:40Z,10609,22.449,1024,2048,1024,1,2112,53824,52800,53829,52805,0,0,0,0
2026-05-18T04:49:40Z,10670,22.449,1024,2048,1024,1,2124,54124,53100,54129,53105,0,0,0,0
2026-05-18T04:50:40Z,10730,22.449,1024,2048,1024,1,2136,54424,53400,54429,53405,0,0,0,0
2026-05-18T04:51:40Z,10790,22.449,1024,2048,1024,1,2148,54724,53700,54729,53705,0,0,0,0
2026-05-18T04:52:41Z,10850,22.449,1024,2048,1024,1,2160,55024,54000,55029,54005,0,0,0,0
2026-05-18T04:53:41Z,10911,22.449,1024,2048,1024,1,2172,55324,54300,55329,54305,0,0,0,0
2026-05-18T04:54:41Z,10971,22.449,1024,2048,1024,1,2184,55624,54600,55629,54605,0,0,0,0
2026-05-18T04:55:41Z,11031,22.449,1024,2048,1024,1,2196,55924,54900,55929,54905,0,0,0,0
2026-05-18T04:56:41Z,11091,22.449,1024,2048,1024,1,2208,56224,55200,56229,55205,0,0,0,0
2026-05-18T04:57:41Z,11151,22.449,1024,2048,1024,1,2220,56524,55500,56529,55505,0,0,0,0
2026-05-18T04:58:42Z,11211,22.449,1024,2048,1024,1,2232,56824,55800,56830,55805,0,0,0,0
2026-05-18T04:59:43Z,11272,22.449,1024,2048,1024,1,2244,57124,56100,57130,56105,0,0,0,0
2026-05-18T05:00:43Z,11332,22.449,1024,2048,1024,1,2256,57424,56400,57430,56405,0,0,0,0
2026-05-18T05:01:43Z,11393,22.449,1024,2048,1024,1,2268,57724,56700,57730,56705,0,0,0,0
2026-05-18T05:02:43Z,11453,22.449,1024,2048,1024,1,2280,58024,57000,58030,57005,0,0,0,0
2026-05-18T05:03:43Z,11513,22.449,1024,2048,1024,1,2292,58324,57300,58330,57305,0,0,0,0
2026-05-18T05:04:44Z,11574,22.449,1024,2048,1024,1,2304,58624,57600,58630,57606,0,0,0,0
2026-05-18T05:05:44Z,11634,22.449,1024,2048,1024,1,2316,58924,57900,58930,57906,0,0,0,0
2026-05-18T05:06:45Z,11694,22.449,1024,2048,1024,1,2328,59224,58200,59230,58206,0,0,0,0
2026-05-18T05:07:45Z,11755,22.449,1024,2048,1024,1,2340,59524,58500,59530,58506,0,0,0,0
2026-05-18T05:08:45Z,11815,22.449,1024,2048,1024,1,2352,59824,58800,59830,58806,0,0,0,0
2026-05-18T05:09:45Z,11875,22.449,1024,2048,1024,1,2364,60124,59100,60130,59106,0,0,0,0
2026-05-18T05:10:46Z,11935,22.449,1024,2048,1024,1,2376,60424,59400,60430,59406,0,0,0,0
2026-05-18T05:11:46Z,11996,22.449,1024,2048,1024,1,2388,60724,59700,60730,59706,0,0,0,0
2026-05-18T05:12:46Z,12056,22.449,1024,2048,1024,1,2400,61024,60000,61030,60006,0,0,0,0
2026-05-18T05:13:46Z,12116,22.449,1024,2048,1024,1,2412,61324,60300,61330,60306,0,0,0,0
