phase,arm,run,metric,round,value,unit
rr1000,v0.72.0,c1r2,wire_vmhwm,,411892,KiB
rr1000,v0.72.0,c1r3,injection_ms,,35,ms
rr1000,v0.72.0,c1r3,staged_ms,,296,ms
rr1000,v0.72.0,c1r3,wire_ms,,337,ms
rr1000,v0.72.0,c1r3,wire_vmrss,,386736,KiB
rr1000,v0.72.0,c1r3,wire_vmhwm,,386736,KiB
rr1000,v0.72.0,c2r1,injection_ms,,35,ms
rr1000,v0.72.0,c2r1,staged_ms,,297,ms
rr1000,v0.72.0,c2r1,wire_ms,,347,ms
rr1000,v0.72.0,c2r1,wire_vmrss,,372912,KiB
rr1000,v0.72.0,c2r1,wire_vmhwm,,384300,KiB
rr1000,v0.72.0,c2r2,injection_ms,,34,ms
rr1000,v0.72.0,c2r2,staged_ms,,300,ms
rr1000,v0.72.0,c2r2,wire_ms,,340,ms
rr1000,v0.72.0,c2r2,wire_vmrss,,408560,KiB
rr1000,v0.72.0,c2r2,wire_vmhwm,,408560,KiB
rr1000,v0.72.0,c2r3,injection_ms,,33,ms
rr1000,v0.72.0,c2r3,staged_ms,,297,ms
rr1000,v0.72.0,c2r3,wire_ms,,332,ms
rr1000,v0.72.0,c2r3,wire_vmrss,,403020,KiB
rr1000,v0.72.0,c2r3,wire_vmhwm,,403020,KiB
