source_file,name,target,version,peers,prefixes per peer,required,received,monitor (s),elapsed (s),prefix received (s),testers (s),total time,max cpu %,max mem (GB),min idle%,min free mem (GB),flags,date,cores,Mem (GB),tester errors,tester timeouts,failed,MSG,filters,max foreign cpu %,target image,tester version,monitor version
r03-s01-2x100000-03-bird.csv,BIRD 2.19.2,bird,2.19.2,2,100000,198000,200000,1,3,1,2,13.54,5,0.028,95,107.831,,2026-08-29,64,125.29GB,0,0,,,,6,bgperf/bird:2.19.2,2.19.2,4.8.0
r03-s01-2x100000-04-rustbgpd.csv,rustbgpd v0.67.0,rustbgpd,rustbgpd 0.67.0,2,100000,198000,200000,0,3,1,2,12.45,41,0.199,93,107.663,,2026-08-29,64,125.29GB,0,0,,,,7,bgperf/rustbgpd:latest,2.19.2,4.8.0
r03-s02-30x1000-01-gobgp.csv,GoBGP 4.8.0,gobgp,4.8.0,30,1000,29700,30000,0,4,1,3,10.92,1355,0.552,72,107.538,,2026-08-29,64,125.29GB,0,0,,,,8,bgperf/gobgp:4.8.0,2.19.2,4.8.0
r03-s02-30x1000-02-frr_c.csv,FRR 10.7.0,frr_c,FRRouting 10.7.0-my-manual-build,30,1000,29700,30000,1,3,2,1,10.9,9,0.057,99,107.981,,2026-08-29,64,125.29GB,0,0,,,,5,bgperf/frr_c:10.7.0,2.19.2,4.8.0
r03-s02-30x1000-03-bird.csv,BIRD 2.19.2,bird,2.19.2,30,1000,29700,30000,0,3,1,2,9.79,15,0.012,98,108.051,,2026-08-29,64,125.29GB,0,0,,,,7,bgperf/bird:2.19.2,2.19.2,4.8.0
r03-s02-30x1000-04-rustbgpd.csv,rustbgpd v0.67.0,rustbgpd,rustbgpd 0.67.0,30,1000,29700,30000,0,2,1,1,8.78,23,0.107,99,107.948,,2026-08-29,64,125.29GB,0,0,,,,5,bgperf/rustbgpd:latest,2.19.2,4.8.0
r03-s03-100x1000-01-gobgp.csv,GoBGP 4.8.0,gobgp,4.8.0,100,1000,99000,100000,0,16,1,15,24.84,3030,4.983,41,102.822,,2026-08-29,64,125.29GB,0,0,,,,6,bgperf/gobgp:4.8.0,2.19.2,4.8.0
r03-s03-100x1000-02-frr_c.csv,FRR 10.7.0,frr_c,FRRouting 10.7.0-my-manual-build,100,1000,99000,100000,0,7,5,2,16.08,23,0.149,97,107.722,,2026-08-29,64,125.29GB,0,0,,,,7,bgperf/frr_c:10.7.0,2.19.2,4.8.0
r03-s03-100x1000-03-bird.csv,BIRD 2.19.2,bird,2.19.2,100,1000,99000,100000,0,5,1,4,13.93,100,0.031,87,107.896,,2026-08-29,64,125.29GB,0,0,,,,4,bgperf/bird:2.19.2,2.19.2,4.8.0
r03-s03-100x1000-04-rustbgpd.csv,rustbgpd v0.67.0,rustbgpd,rustbgpd 0.67.0,100,1000,99000,100000,0,3,1,2,11.9,135,0.248,94,107.559,,2026-08-29,64,125.29GB,0,0,,,,9,bgperf/rustbgpd:latest,2.19.2,4.8.0
